#Column heading	Definition
#Mass %	Mass of solute divided by total mass of solution, expressed as percent
#Molality, moles of solute per kg of water
#Molarity, moles of solute per liter of solution
#Density of solution, in g cm-3
#Index of refraction, relative to air, at a wavelength of 589 nm (sodium D line); the index of pure water at 20 ¡C is 1.3330
#Freezing point depression relative to pure water, in ¡C
#Absolute (dynamic) viscosity, in mPa s (equal to centipoise, cP); the viscosity of pure water at 20 ¡C is 1.002 mPa s
#Density data for aqueous solutions over a wider range of temperatures and pressures (and for additional compounds not in this table) may be found in Ref. 2.														
#														
Row	SubHeader	Solute	Synonym	Formula	CAS_Reg_No	Mol_wt	Mass_prct	Mass_fraction	Molality_m	Molarity_c	Density	Refractive_index_n	T_freeze_supression	Viscosity_dynamic
454	_-_-Fructose	_-D-Fructose	_-Levulose	C6H12O6	53188-23-1	180.155	44	0.44	4.361	2.925	1.1975	1.4062		6.644
455	_-_-Fructose	_-D-Fructose	_-Levulose	C6H12O6	53188-23-1	180.155	46	0.46	4.728	3.084	1.208	1.4101		7.753
456	_-_-Fructose	_-D-Fructose	_-Levulose	C6H12O6	53188-23-1	180.155	48	0.48	5.124	3.247	1.2187	1.4141		9.06
457	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	0.5	0.005	0.028	0.028	1.0001	1.3337	0.05	1.01
458	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	1	0.01	0.056	0.056	1.002	1.3344	0.11	1.021
459	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	2	0.02	0.113	0.112	1.0058	1.3358	0.21	1.052
460	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	3	0.03	0.172	0.168	1.0097	1.3373	0.32	1.083
461	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	4	0.04	0.231	0.225	1.0136	1.3387	0.43	1.113
462	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	5	0.05	0.292	0.282	1.0175	1.3402	0.55	1.145
463	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	6	0.06	0.354	0.34	1.0214	1.3417	0.67	1.179
464	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	7	0.07	0.418	0.398	1.0254	1.3432	0.79	1.214
465	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	8	0.08	0.483	0.457	1.0294	1.3447	0.91	1.25
466	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	9	0.09	0.549	0.516	1.0334	1.3462	1.04	1.289
467	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	10	0.1	0.617	0.576	1.0375	1.3477	1.17	1.33
468	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	11	0.11	0.686	0.636	1.0416	1.3492	1.3	1.372
469	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	12	0.12	0.757	0.697	1.0457	1.3508	1.44	1.416
470	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	13	0.13	0.829	0.758	1.0498	1.3523	1.59	1.462
471	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	14	0.14	0.904	0.819	1.054	1.3539	1.73	1.512
472	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	15	0.15	0.98	0.881	1.0582	1.3555	1.88	1.566
473	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	16	0.16	1.057	0.944	1.0624	1.3571	2.03	1.625
474	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	17	0.17	1.137	1.007	1.0667	1.3587	2.19	1.688
475	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	18	0.18	1.218	1.07	1.071	1.3603	2.35	1.757
476	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	19	0.19	1.302	1.134	1.0753	1.3619	2.52	1.829
477	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	20	0.2	1.388	1.199	1.0797	1.3635	2.7	1.904
478	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	22	0.22	1.566	1.329	1.0884	1.3668	3.07	2.063
479	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	24	0.24	1.753	1.462	1.0973	1.3702	3.48	2.242
480	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	26	0.26	1.95	1.597	1.1063	1.3736	3.9	2.458
481	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	28	0.28	2.159	1.734	1.1154	1.377	4.34	2.707
482	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	30	0.3	2.379	1.873	1.1246	1.3805	4.79	2.998
483	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	32	0.32	2.612	2.014	1.134	1.384		3.324
484	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	34	0.34	2.859	2.158	1.1434	1.3876		3.704
485	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	36	0.36	3.122	2.304	1.1529	1.3912		4.193
486	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	38	0.38	3.402	2.452	1.1626	1.3949		4.786
487	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	40	0.4	3.7	2.603	1.1724	1.3986		5.493
488	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	42	0.42	4.019	2.756	1.1823	1.4024		6.288
489	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	44	0.44	4.361	2.912	1.1924	1.4062		7.235
490	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	46	0.46	4.728	3.071	1.2026	1.4101		8.454
491	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	48	0.48	5.124	3.232	1.213	1.4141		9.883
492	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	50	0.5	5.551	3.396	1.2235	1.4181		11.884
493	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	52	0.52	6.013	3.562	1.2342	1.4222		14.489
494	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	54	0.54	6.516	3.732	1.2451	1.4263		17.916
495	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	56	0.56	7.064	3.905	1.2562	1.4306		22.886
496	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	58	0.58	7.665	4.081	1.2676	1.4349		29.389
497	_-D-Glucose	_-D-Glucose		C6H12O6	26655-34-5	180.155	60	0.6	8.326	4.261	1.2793	1.4394		37.445
498	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	0.5	0.005	0.055	0.054	0.9994	1.3336	0.07	1.022
499	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	1	0.01	0.11	0.109	1.0005	1.3342	0.18	1.034
500	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	2	0.02	0.222	0.218	1.0028	1.3353	0.41	1.06
501	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	3	0.03	0.336	0.327	1.0051	1.3365	0.63	1.088
502	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	4	0.04	0.452	0.438	1.0074	1.3376	0.85	1.116
503	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	5	0.05	0.572	0.548	1.0097	1.3388	1.08	1.145
504	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	6	0.06	0.693	0.659	1.012	1.34	1.32	1.176
505	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	7	0.07	0.817	0.771	1.0144	1.3412	1.56	1.207
506	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	8	0.08	0.944	0.883	1.0167	1.3424	1.81	1.24
507	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	9	0.09	1.074	0.996	1.0191	1.3436	2.06	1.275
508	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	10	0.1	1.207	1.109	1.0215	1.3448	2.32	1.31
509	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	12	0.12	1.481	1.337	1.0262	1.3472	2.88	1.386
510	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	14	0.14	1.768	1.568	1.0311	1.3496	3.47	1.469
511	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	16	0.16	2.068	1.8	1.036	1.3521	4.09	1.56
512	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	18	0.18	2.384	2.035	1.0409	1.3547	4.76	1.658
513	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	20	0.2	2.715	2.271	1.0459	1.3572	5.46	1.766
514	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	24	0.24	3.429	2.752	1.0561	1.3624	7.01	2.01
515	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	28	0.28	4.223	3.242	1.0664	1.3676	8.77	2.32
516	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	32	0.32	5.11	3.742	1.077	1.373	10.74	2.69
517	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	36	0.36	6.108	4.252	1.0876	1.3785	12.96	3.15
518	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	40	0.4	7.239	4.771	1.0984	1.3841	15.5	3.73
519	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	44	0.44	8.532	5.3	1.1092	1.3897		4.48
520	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	48	0.48	10.024	5.838	1.12	1.3954		5.45
521	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	52	0.52	11.764	6.385	1.1308	1.4011		6.73
522	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	56	0.56	13.82	6.944	1.1419	1.4069		8.47
523	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	60	0.6	16.288	7.512	1.153	1.4129		10.9
524	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	64	0.64	19.305	8.092	1.1643	1.4189		14.3
525	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	68	0.68	23.075	8.68	1.1755	1.4249		19.4
526	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	72	0.72	27.923	9.277	1.1866	1.431		27.2
527	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	76	0.76	34.387	9.884	1.1976	1.437		39.6
528	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	80	0.8	43.436	10.498	1.2085	1.4431		60.6
529	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	84	0.84	57.009	11.121	1.2192	1.4492		98
530	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	88	0.88	79.632	11.753	1.2299	1.4553		170
531	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	92	0.92	124.878	12.392	1.2404	1.4613		319
532	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	96	0.96	260.615	13.039	1.2508	1.4674		648
533	Glycerol	Glycerol	"1,2,3-Propanetriol"	CH2OHCHOHCH2OH	56-81-5	92.094	100	1		13.694	1.2611	1.4735		1460
534	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	0.5	0.005	0.138	0.137	1.0007	1.3341	0.49	1.008
535	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	1	0.01	0.277	0.275	1.0031	1.3353	0.99	1.015
536	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	2	0.02	0.56	0.553	1.0081	1.3376	2.08	1.029
537	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	3	0.03	0.848	0.833	1.013	1.3399	3.28	1.044
538	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	4	0.04	1.143	1.117	1.0179	1.3422	4.58	1.059
539	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	5	0.05	1.444	1.403	1.0228	1.3445	5.98	1.075
540	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	6	0.06	1.751	1.691	1.0278	1.3468	7.52	1.091
541	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	7	0.07	2.064	1.983	1.0327	1.3491	9.22	1.108
542	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	8	0.08	2.385	2.277	1.0377	1.3515	11.1	1.125
543	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	9	0.09	2.713	2.574	1.0426	1.3538	13.15	1.143
544	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	10	0.1	3.047	2.873	1.0476	1.3561	15.4	1.161
545	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	11	0.11	3.39	3.176	1.0526	1.3584	17.85	1.18
546	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	12	0.12	3.74	3.481	1.0576	1.3607	20.51	1.199
547	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	13	0.13	4.098	3.789	1.0626	1.363		1.219
548	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	14	0.14	4.465	4.099	1.0676	1.3653		1.239
549	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	15	0.15	4.84	4.413	1.0726	1.3676		1.261
550	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	16	0.16	5.224	4.729	1.0777	1.37		1.282
551	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	17	0.17	5.617	5.049	1.0828	1.3723		1.304
552	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	18	0.18	6.02	5.37	1.0878	1.3746		1.326
553	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	19	0.19	6.433	5.695	1.0929	1.3769		1.35
554	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	20	0.2	6.857	6.023	1.098	1.3792		1.374
555	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	22	0.22	7.736	6.687	1.1083	1.3838		1.426
556	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	24	0.24	8.661	7.362	1.1185	1.3884		1.483
557	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	26	0.26	9.636	8.049	1.1288	1.393		1.547
558	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	28	0.28	10.666	8.748	1.1391	1.3976		1.62
559	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	30	0.3	11.754	9.456	1.1492	1.402		1.705
560	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	32	0.32	12.907	10.175	1.1594	1.4066		1.799
561	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	34	0.34	14.129	10.904	1.1693	1.4112		1.9
562	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	36	0.36	15.427	11.642	1.1791	1.4158		2.002
563	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	38	0.38	16.81	12.388	1.1886	1.4204		2.105
564	Hydrogen chloride	Hydrogen chloride	Hydrochloric acid	HCl	7647-01-0	36.461	40	0.4	18.284	13.14	1.1977	1.425		
565	Iron(III) chloride	Iron(III) chloride	Molysite	FeCl3	7705-08-0	162.204	0.5	0.005	0.031	0.031	1.0025	1.3344	0.21	1.024
566	Iron(III) chloride	Iron(III) chloride	Molysite	FeCl3	7705-08-0	162.204	1	0.01	0.062	0.062	1.0068	1.3358	0.39	1.047
567	Iron(III) chloride	Iron(III) chloride	Molysite	FeCl3	7705-08-0	162.204	2	0.02	0.126	0.125	1.0153	1.3386	0.75	1.093
568	Iron(III) chloride	Iron(III) chloride	Molysite	FeCl3	7705-08-0	162.204	3	0.03	0.191	0.189	1.0238	1.3413	1.15	1.139
569	Iron(III) chloride	Iron(III) chloride	Molysite	FeCl3	7705-08-0	162.204	4	0.04	0.257	0.255	1.0323	1.3441	1.56	1.187
570	Iron(III) chloride	Iron(III) chloride	Molysite	FeCl3	7705-08-0	162.204	5	0.05	0.324	0.321	1.0408	1.3468	2	1.238
571	Iron(III) chloride	Iron(III) chloride	Molysite	FeCl3	7705-08-0	162.204	6	0.06	0.394	0.388	1.0493	1.3496	2.48	1.292
572	Iron(III) chloride	Iron(III) chloride	Molysite	FeCl3	7705-08-0	162.204	7	0.07	0.464	0.457	1.058	1.3524	2.99	1.35
573	Iron(III) chloride	Iron(III) chloride	Molysite	FeCl3	7705-08-0	162.204	8	0.08	0.536	0.526	1.0668	1.3552	3.57	1.412
574	Iron(III) chloride	Iron(III) chloride	Molysite	FeCl3	7705-08-0	162.204	9	0.09	0.61	0.597	1.076	1.3581	4.19	1.48
575	Iron(III) chloride	Iron(III) chloride	Molysite	FeCl3	7705-08-0	162.204	10	0.1	0.685	0.669	1.0853	1.3611	4.85	1.553
576	Iron(III) chloride	Iron(III) chloride	Molysite	FeCl3	7705-08-0	162.204	12	0.12	0.841	0.817	1.104	1.367	6.38	1.707
577	Iron(III) chloride	Iron(III) chloride	Molysite	FeCl3	7705-08-0	162.204	14	0.14	1.004	0.969	1.1228	1.373	8.22	1.879
578	Iron(III) chloride	Iron(III) chloride	Molysite	FeCl3	7705-08-0	162.204	16	0.16	1.174	1.126	1.142		10.45	2.08
579	Iron(III) chloride	Iron(III) chloride	Molysite	FeCl3	7705-08-0	162.204	18	0.18	1.353	1.289	1.1615		13.08	2.311
580	Iron(III) chloride	Iron(III) chloride	Molysite	FeCl3	7705-08-0	162.204	20	0.2	1.541	1.457	1.1816		16.14	2.57
581	Iron(III) chloride	Iron(III) chloride	Molysite	FeCl3	7705-08-0	162.204	24	0.24	1.947	1.81	1.2234		23.79	3.178
582	Iron(III) chloride	Iron(III) chloride	Molysite	FeCl3	7705-08-0	162.204	28	0.28	2.398	2.189	1.2679		33.61	4.038
583	Iron(III) chloride	Iron(III) chloride	Molysite	FeCl3	7705-08-0	162.204	32	0.32	2.901	2.595	1.3153		49.16	5.274
584	Iron(III) chloride	Iron(III) chloride	Molysite	FeCl3	7705-08-0	162.204	36	0.36	3.468	3.03	1.3654			7.13
585	Iron(III) chloride	Iron(III) chloride	Molysite	FeCl3	7705-08-0	162.204	40	0.4	4.11	3.496	1.4176			9.674
586	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	0.5	0.005	0.056	0.055	0.9992	1.3335	0.1	1.014
587	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	1	0.01	0.112	0.111	1.0002	1.334	0.19	1.027
588	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	2	0.02	0.227	0.223	1.0023	1.335	0.38	1.056
589	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	3	0.03	0.343	0.334	1.0043	1.336	0.57	1.084
590	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	4	0.04	0.463	0.447	1.0065	1.337	0.76	1.11
591	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	5	0.05	0.584	0.56	1.0086	1.338	0.95	1.138
592	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	6	0.06	0.709	0.673	1.0108	1.339	1.16	1.167
593	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	7	0.07	0.836	0.787	1.0131	1.34	1.36	1.198
594	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	8	0.08	0.965	0.902	1.0153	1.341	1.57	1.229
595	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	9	0.09	1.098	1.017	1.0176	1.342	1.79	1.262
596	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	10	0.1	1.233	1.132	1.0199	1.343	2.02	1.296
597	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	12	0.12	1.514	1.365	1.0246	1.345	2.49	1.366
598	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	14	0.14	1.807	1.6	1.0294	1.347	2.99	1.441
599	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	16	0.16	2.115	1.837	1.0342	1.3491	3.48	1.522
600	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	18	0.18	2.437	2.076	1.039	1.3511	3.96	1.607
601	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	20	0.2	2.775	2.318	1.0439	1.3532	4.44	1.699
602	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	24	0.24	3.506	2.807	1.0536	1.3573		1.902
603	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	28	0.28	4.317	3.305	1.0632	1.3615		2.136
604	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	32	0.32	5.224	3.811	1.0728	1.3657		2.414
605	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	36	0.36	6.244	4.325	1.0822	1.37		2.73
606	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	40	0.4	7.401	4.847	1.0915	1.3743		3.114
607	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	44	0.44	8.722	5.377	1.1008	1.3786		3.566
608	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	48	0.48	10.247	5.917	1.1105	1.3828		4.106
609	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	52	0.52	12.026	6.466	1.1201	1.3871		4.789
610	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	56	0.56	14.129	7.023	1.1297	1.3914		5.579
611	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	60	0.6	16.652	7.588	1.1392	1.3958		6.679
612	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	64	0.64	19.736	8.161	1.1486	1.4001		8.024
613	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	68	0.68	23.59	8.741	1.1579	1.4045		9.863
614	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	72	0.72	28.546	9.328	1.167	1.4088		12.866
615	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	76	0.76	35.154	9.922	1.176	1.4131		16.974
616	D-Lactic acid	D-Lactic acid	D-2-Hydroxypropanoic acid	CH3CHOHCOOH	10326-41-7	90.078	80	0.8	44.405	10.522	1.1848	1.4173		22.164
617	_-D-Lactose	_-D-Lactose		C12H22O11	5965-66-2	342.296	0.5	0.005	0.015	0.015	1.0002	1.3337	0.03	1.013
618	_-D-Lactose	_-D-Lactose		C12H22O11	5965-66-2	342.296	1	0.01	0.03	0.029	1.0021	1.3345	0.06	1.026
619	_-D-Lactose	_-D-Lactose		C12H22O11	5965-66-2	342.296	1.5	0.015	0.044	0.044	1.0041	1.3352	0.08	1.041
620	_-D-Lactose	_-D-Lactose		C12H22O11	5965-66-2	342.296	2	0.02	0.06	0.059	1.0061	1.3359	0.11	1.058
621	_-D-Lactose	_-D-Lactose		C12H22O11	5965-66-2	342.296	2.5	0.025	0.075	0.074	1.0081	1.3367	0.14	1.074
622	_-D-Lactose	_-D-Lactose		C12H22O11	5965-66-2	342.296	3	0.03	0.09	0.089	1.0102	1.3375	0.17	1.089
623	_-D-Lactose	_-D-Lactose		C12H22O11	5965-66-2	342.296	3.5	0.035	0.106	0.103	1.0122	1.3382	0.2	1.105
624	_-D-Lactose	_-D-Lactose		C12H22O11	5965-66-2	342.296	4	0.04	0.122	0.119	1.0143	1.339	0.23	1.12
625	_-D-Lactose	_-D-Lactose		C12H22O11	5965-66-2	342.296	4.5	0.045	0.138	0.134	1.0163	1.3398	0.26	1.137
626	_-D-Lactose	_-D-Lactose		C12H22O11	5965-66-2	342.296	5	0.05	0.154	0.149	1.0184	1.3406	0.29	1.154
627	_-D-Lactose	_-D-Lactose		C12H22O11	5965-66-2	342.296	5.5	0.055	0.17	0.164	1.0204	1.3413	0.32	1.172
628	_-D-Lactose	_-D-Lactose		C12H22O11	5965-66-2	342.296	6	0.06	0.186	0.179	1.0225	1.3421	0.35	1.191
